"PRICEDATE","SYMBOL","SYMBOLNAME","OPENINGPRICE","CLOSINGPRICE"
"01-Feb-2013","UBN","UNION BANK OF NIGERIA","8.4","8.4"
"01-Feb-2013","UBA","UNITED BANK FOR AFRICA","6.87","7.08"
"01-Feb-2013","UNITYBNK","UNITY BANK PLC","0.65","0.66"
"01-Feb-2013","UNITYKAP","UNITY KAPITAL ASSURANCE PLC","0.5","0.5"
"01-Feb-2013","UPL","UNIVERSITY PRESS PLC","4.77","4.77"
"01-Feb-2013","UTC","UTC NIGERIA PLC","0.82","0.82"
"01-Feb-2013","VITAFOAM","VITAFOAM NIGERIA PLC","4.46","4.26"
"01-Feb-2013","WEMABANK","WEMA BANK","0.86","0.92"
"01-Feb-2013","WAPCO","WEST AFRICAN PORTLAND CEMENT","65.5","68.0"
"01-Feb-2013","WAPIC","WEST AFRICAN PROVINCIAL INSURANCE PLC","0.98","0.95"
"01-Feb-2013","ZENITHBANK","ZENITH INTERNATIONAL BANK PLC","20.5","20.99"
